"","Package","LibPath","Version","Priority","Built"
"1","acepack","C:/Users/subha/Documents/R/win-library/3.4","1.4.1",NA,"3.4.3"
"2","assertthat","C:/Users/subha/Documents/R/win-library/3.4","0.2.0",NA,"3.4.3"
"3","backports","C:/Users/subha/Documents/R/win-library/3.4","1.1.2",NA,"3.4.3"
"4","base64enc","C:/Users/subha/Documents/R/win-library/3.4","0.1-3",NA,"3.4.1"
"5","BH","C:/Users/subha/Documents/R/win-library/3.4","1.65.0-1",NA,"3.4.1"
"6","bindr","C:/Users/subha/Documents/R/win-library/3.4","0.1",NA,"3.4.3"
"7","bindrcpp","C:/Users/subha/Documents/R/win-library/3.4","0.2",NA,"3.4.3"
"8","bit","C:/Users/subha/Documents/R/win-library/3.4","1.1-12",NA,"3.4.1"
"9","bit64","C:/Users/subha/Documents/R/win-library/3.4","0.9-7",NA,"3.4.1"
"10","bitops","C:/Users/subha/Documents/R/win-library/3.4","1.0-6",NA,"3.4.1"
"11","blob","C:/Users/subha/Documents/R/win-library/3.4","1.1.0",NA,"3.4.3"
"12","broom","C:/Users/subha/Documents/R/win-library/3.4","0.4.3",NA,"3.4.3"
"13","caTools","C:/Users/subha/Documents/R/win-library/3.4","1.17.1",NA,"3.4.3"
"14","cellranger","C:/Users/subha/Documents/R/win-library/3.4","1.1.0",NA,"3.4.3"
"15","checkmate","C:/Users/subha/Documents/R/win-library/3.4","1.8.5",NA,"3.4.3"
"16","cli","C:/Users/subha/Documents/R/win-library/3.4","1.0.0",NA,"3.4.3"
"17","clipr","C:/Users/subha/Documents/R/win-library/3.4","0.4.0",NA,"3.4.3"
"18","clisymbols","C:/Users/subha/Documents/R/win-library/3.4","1.2.0",NA,"3.4.3"
"19","colorspace","C:/Users/subha/Documents/R/win-library/3.4","1.3-2",NA,"3.4.3"
"20","covr","C:/Users/subha/Documents/R/win-library/3.4","3.0.1",NA,"3.4.3"
"21","crayon","C:/Users/subha/Documents/R/win-library/3.4","1.3.4",NA,"3.4.3"
"22","curl","C:/Users/subha/Documents/R/win-library/3.4","3.1",NA,"3.4.3"
"23","data.table","C:/Users/subha/Documents/R/win-library/3.4","1.10.4-3",NA,"3.4.3"
"24","DBI","C:/Users/subha/Documents/R/win-library/3.4","0.7",NA,"3.4.3"
"25","dbplyr","C:/Users/subha/Documents/R/win-library/3.4","1.2.0",NA,"3.4.3"
"26","debugme","C:/Users/subha/Documents/R/win-library/3.4","1.1.0",NA,"3.4.3"
"27","desc","C:/Users/subha/Documents/R/win-library/3.4","1.1.1",NA,"3.4.3"
"28","devtools","C:/Users/subha/Documents/R/win-library/3.4","1.13.4",NA,"3.4.3"
"29","dichromat","C:/Users/subha/Documents/R/win-library/3.4","2.0-0",NA,"3.4.1"
"30","digest","C:/Users/subha/Documents/R/win-library/3.4","0.6.14",NA,"3.4.3"
"31","dplyr","C:/Users/subha/Documents/R/win-library/3.4","0.7.4",NA,"3.4.3"
"32","dtplyr","C:/Users/subha/Documents/R/win-library/3.4","0.0.2",NA,"3.4.3"
"33","enc","C:/Users/subha/Documents/R/win-library/3.4","0.1",NA,"3.4.3"
"34","evaluate","C:/Users/subha/Documents/R/win-library/3.4","0.10.1",NA,"3.4.3"
"35","forcats","C:/Users/subha/Documents/R/win-library/3.4","0.2.0",NA,"3.4.3"
"36","Formula","C:/Users/subha/Documents/R/win-library/3.4","1.2-2",NA,"3.4.1"
"37","fs","C:/Users/subha/Documents/R/win-library/3.4","1.1.0",NA,"3.4.3"
"38","gapminder","C:/Users/subha/Documents/R/win-library/3.4","0.3.0",NA,"3.4.3"
"39","gdtools","C:/Users/subha/Documents/R/win-library/3.4","0.1.6",NA,"3.4.3"
"40","ggplot2","C:/Users/subha/Documents/R/win-library/3.4","2.2.1",NA,"3.4.3"
"41","ggplot2movies","C:/Users/subha/Documents/R/win-library/3.4","0.0.1",NA,"3.4.1"
"42","gh","C:/Users/subha/Documents/R/win-library/3.4","1.0.1",NA,"3.4.3"
"43","git2r","C:/Users/subha/Documents/R/win-library/3.4","0.21.0",NA,"3.4.3"
"44","glue","C:/Users/subha/Documents/R/win-library/3.4","1.2.0",NA,"3.4.3"
"45","gridExtra","C:/Users/subha/Documents/R/win-library/3.4","2.3",NA,"3.4.3"
